gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	DC	EC	Fibroblast	HighPseudotime_tumour	LowPseudotime_tumour	Mast	MidPseudotime_tumour	Myeloid	T_cell
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0700FDD27	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0C623F17A	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS09F35DDEB	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.009
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.009
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.009
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0DAA66443	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS069E2161D	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0D9226707	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.0	0.0	0.0	0.041	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0AED3F8E8	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS06C0EEFCB	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0B2F2EF5D	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CC0B6E6E341	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS036BF2AC7	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0546460D1	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.0	0.0	0.0	0.032	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0BEC40E19	0.0	0.0	0.0	0.032	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0C0D60519	0.0	0.0	0.0	0.032	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS03DF8BD36	0.0	0.0	0.0	0.032	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS058910188	0.0	0.0	0.0	0.032	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS0E997FABD	0.0	0.0	0.0	0.032	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS089A36491	0.0	0.0	0.0	0.032	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS027F8BD7E	0.0	0.0	0.0	0.032	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1B_AVR2B	CPI-CS055E15573	0.0	0.0	0.0	0.032	0.008	0.008	0.0	0.006	0.0	0.001
ACVR2B	Q13705	True	AVR2B_HUMAN	NODAL receptor	CPI-CS040AEB4A0	0.0	0.0	0.014	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS09F35DDEB	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.008	0.025	0.039	0.06	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0AED3F8E8	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS06C0EEFCB	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0B2F2EF5D	0.006	0.012	0.034	0.032	0.012	0.037	0.0	0.01	0.018	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	NODAL receptor	CPI-CS040AEB4A0	0.0	0.0	0.014	0.0	0.001	0.0	0.0	0.001	0.0	0.0
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.009
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.009
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.009
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CC0B6E6E341	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.007
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.007
ACVR1C	Q8NER5	True	ACV1C_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.006	0.002	0.001	0.002	0.002	0.001	0.0	0.002	0.001	0.007
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS09CECD20D	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0DAA66443	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.008	0.009	0.005	0.117	0.016	0.013	0.0	0.011	0.027	0.015
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.006	0.009	0.005	0.032	0.012	0.037	0.0	0.01	0.018	0.007
